date,close,highest,lowest ,open,amount,rate,volume,turnover 
2004/4/16,1693.861,1694.557,1656.302,1678.972,14.785,0.8805,19029894,14600336250
2004/4/19,1675.885,1698.691,1672.354,1695.333,-17.976,-1.0612,14759026,11779388750
2004/4/20,1669.422,1682.05,1659.946,1674.363,-6.463,-0.3856,13670257,11149700000
2004/4/21,1651.577,1675.36,1645.078,1669.382,-17.845,-1.0689,15865939,12346707500
2004/4/22,1657.785,1659.791,1637.29,1649.051,6.208,0.3759,13383034,10312608750
2004/4/23,1635.501,1653.99,1632.559,1653.944,-22.284,-1.3442,13463930,9905266250
2004/4/26,1635.499,1644.502,1623.049,1633.269,-0.002,-0.0001,10944212,8358153130
2004/4/27,1611.86,1640.695,1608.811,1636.438,-23.639,-1.4454,13376477,10466140000
2004/4/28,1606.801,1615.143,1589.1,1606.421,-5.059,-0.3139,13260498,10233720630
2004/4/29,1579.447,1613.555,1578.094,1605.302,-27.354,-1.7024,14230964,11058967500
2004/4/30,1595.587,1599.561,1572.23,1579.966,16.14,1.0219,12990051,9997847500
2004/5/10,1560.9351,1603.074,1559.713,1600.626,-35.372,-2.1717,7260825,5269381880
2004/5/11,1568.059,1570.761,1545.631,1556.717,7.844,0.4564,8208075,6157000000
2004/5/12,1603.768,1604.424,1564.139,1568.409,35.709,2.2773,11874966,8758265630
2004/5/13,1597.57,1606.072,1589.458,1605.704,-6.198,-0.3865,9567336,7357137500
2004/5/14,1562.688,1597.319,1558.538,1596.734,-34.882,-2.1834,10072769,7395138750
2004/5/17,1539.959,1562.392,1537.466,1556.673,-22.729,-1.4545,8873142,6529651880
2004/5/18,1555.442,1555.859,1526.238,1537.338,15.483,1.0054,12609870,9817235000
2004/5/19,1558.287,1575.378,1548.161,1559.262,2.845,0.1829,13211805,9647800000
2004/5/20,1549.061,1571.303,1542.219,1556.685,-9.226,-0.5921,10559511,7179557500
2004/5/21,1558.33,1559.859,1545.619,1548.563,9.269,0.5984,10149540,6499431880
2004/5/24,1550.348,1562.332,1547.359,1559.552,-7.982,-0.5122,9315736,6136397500
2004/5/25,1518.045,1549.588,1516.345,1549.021,-32.303,-2.0836,10111280,7124520000
2004/5/26,1524.436,1529.914,1508.645,1515.156,6.391,0.421,8092712,5588707500
2004/5/27,1557.178,1559.551,1515.973,1524.943,32.742,2.1478,13529194,9372702500
2004/5/28,1548.722,1561.004,1545.648,1558.416,-8.456,-0.543,9525949,6709096880
2004/5/31,1555.906,1556.794,1544.713,1549.031,7.184,0.4639,8092426,5650059380
2004/6/1,1579.658,1579.82,1553.118,1555.562,23.752,1.5266,14386479,11152591250
2004/6/2,1567.067,1580.57,1562.239,1580.209,-12.591,-0.7971,14522630,11768786250
2004/6/3,1543.527,1566.828,1540.741,1566.421,-23.54,-1.5022,11785274,9256826880
2004/6/4,1542.086,1549.496,1534.992,1541.093,-1.441,-0.0934,11746335,8254706880
2004/6/7,1517.145,1538.499,1508.874,1538.463,-24.941,-1.6174,9975911,7136523750
2004/6/8,1493.814,1519.991,1488.63,1514.783,-23.331,-1.5378,10754945,7830858130
2004/6/9,1468.071,1497.182,1464.16,1492.199,-25.743,-1.7233,12367770,8841883130
2004/6/10,1468.344,1478.167,1456.321,1465.556,0.273,0.0186,11337074,7825038750
2004/6/11,1472.072,1499.459,1469.536,1471.689,3.728,0.2539,11086339,7828670630
2004/6/14,1438.736,1471.446,1431.314,1471.446,-33.336,-2.2646,11295660,7664482500
2004/6/15,1463.777,1469.571,1433.033,1436.082,25.041,1.7405,10726086,7284825000
2004/6/16,1475.416,1491.686,1452.578,1465.227,11.639,0.7951,11787133,7916290000
2004/6/17,1445.501,1478.489,1443.534,1475.273,-29.915,-2.0276,9847524,6830783750
2004/6/18,1427.301,1442.48,1411.031,1442.476,-18.2,-1.2591,10520460,7389533750
2004/6/21,1433.467,1434.204,1414.969,1421.828,6.166,0.432,8221234,5892775630
2004/6/22,1450.683,1456.13,1430.963,1434.416,17.216,1.201,11141370,8352978750
2004/6/23,1440.729,1450.109,1428.797,1450.069,-9.954,-0.6862,8713056,6537909380
2004/6/24,1427.754,1447.394,1426.492,1438.311,-12.975,-0.9006,9506898,6965151250
2004/6/25,1401.113,1434.473,1399.391,1426.554,-26.641,-1.8659,9854145,7095025000
2004/6/28,1385.181,1397.522,1380.197,1396.361,-15.932,-1.1371,8313757,5648445630
2004/6/29,1408.689,1409.376,1376.218,1384.643,23.508,1.6971,10654000,6880065000
2004/6/30,1399.162,1415.844,1394.676,1408.272,-9.527,-0.6763,8709699,5603837500
2004/7/1,1441.068,1445.102,1396.347,1398.198,41.906,2.9951,14580099,9447359380
2004/7/2,1441.19,1447.612,1428.074,1441.121,0.122,0.0085,11068765,7289870630
2004/7/5,1444.59,1444.932,1429.12,1440.17,3.4,0.2359,8398896,5442175630
2004/7/6,1450.501,1466.784,1445.316,1445.398,5.911,0.4092,12579503,8308230000
2004/7/7,1438.398,1448.956,1434.293,1448.95,-12.103,-0.8344,8110749,5357676880
2004/7/8,1439.783,1440.638,1426.948,1436.473,1.385,0.0963,7158494,4666150940
2004/7/9,1430.654,1451.752,1429.139,1439.735,-9.129,-0.6341,7418729,4926661880
2004/7/12,1397.148,1426.251,1393.807,1426.251,-33.506,-2.342,8930134,5693310630
2004/7/13,1399.461,1403.141,1389.159,1395.353,2.313,0.1656,7358626,4600437500
2004/7/14,1403.755,1408.987,1378.912,1399.865,4.294,0.3068,10506909,6593246250
2004/7/15,1421.544,1422.256,1399.984,1404.471,17.789,1.2672,12771154,8411705630
2004/7/16,1456.13,1458.385,1422.24,1423.687,34.586,2.433,22935944,14594781250
2004/7/19,1457.537,1465.84,1447.05,1456.771,1.407,0.0966,13493061,8966335000
2004/7/20,1447.941,1457.291,1440.056,1457.227,-9.596,-0.6584,12447571,8293448130
2004/7/21,1448.037,1452.858,1436.847,1446.517,0.096,0.0066,9644045,6550140000
2004/7/22,1407.438,1449.686,1404.542,1448.128,-40.599,-2.8037,13235340,8772963130
2004/7/23,1407.396,1408.457,1387.262,1403.36,-0.042,-0.003,10997608,6963158750
2004/7/26,1387.67,1401.881,1381.905,1401.843,-19.726,-1.4016,8444411,5325876880
2004/7/27,1384.128,1395.311,1373.42,1386.995,-3.542,-0.2552,9508097,5857960000
